sol//meta2/log_centSommets.txt:Result: best solution found in 0.56 seconds with cost: 855.
sol//meta2/log_cinqCentSommets.txt:Result: best solution found in 11.30 seconds with cost: 2856.
sol//meta2/log_cinqSommets.txt:Result: best solution found in 0.01 seconds with cost: 4.
sol//meta2/log_cinquanteSommets.txt:Result: best solution found in 0.17 seconds with cost: 193.
sol//meta2/log_dixMilleSommets.txt:Result: best solution found in 685.59 seconds with cost: 4983505.
sol//meta2/log_dixSeptSommets.txt:Result: best solution found in 0.03 seconds with cost: 61.
sol//meta2/log_dixSommets.txt:Result: best solution found in 0.02 seconds with cost: 13.
sol//meta2/log_milleSommets.txt:Result: best solution found in 44.03 seconds with cost: 3530.
sol//meta2/log_quatreSommets.txt:Result: best solution found in 0.01 seconds with cost: 2.
sol//meta2/log_quinzeSommets.txt:Result: best solution found in 0.03 seconds with cost: 44.
sol//meta2/log_trenteSommets.txt:Result: best solution found in 0.08 seconds with cost: 189.
sol//meta2/log_vingtCinqSommets.txt:Result: best solution found in 0.06 seconds with cost: 152.
sol//meta2/log_vingtDeuxSommets.txt:Result: best solution found in 0.05 seconds with cost: 103.
sol//meta2/log_vingtEtunSommets.txt:Result: best solution found in 0.04 seconds with cost: 107.
sol//meta2/log_vingtQuatreSommets.txt:Result: best solution found in 0.05 seconds with cost: 131.
sol//meta2/log_vingtSommets.txt:Result: best solution found in 0.04 seconds with cost: 40.
sol//meta2/log_vingtTroisSommets.txt:Result: best solution found in 0.05 seconds with cost: 116.
