sol/enum/log_centSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: inf.
sol/enum/log_cinqCentSommets.txt.txt:Result: best solution found in 60.03 seconds with cost: inf.
sol/enum/log_cinqSommets.txt.txt:Result: best solution found in 0.00 seconds with cost: 4.
sol/enum/log_cinquanteSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: inf.
sol/enum/log_dixMilleSommets.txt.txt:Result: best solution found in 80.05 seconds with cost: inf.
sol/enum/log_dixSeptSommets.txt.txt:Result: best solution found in 3.50 seconds with cost: 60.
sol/enum/log_dixSommets.txt.txt:Result: best solution found in 0.01 seconds with cost: 13.
sol/enum/log_milleSommets.txt.txt:Result: best solution found in 60.06 seconds with cost: inf.
sol/enum/log_quatreSommets.txt.txt:Result: best solution found in 0.00 seconds with cost: 2.
sol/enum/log_quinzeSommets.txt.txt:Result: best solution found in 0.76 seconds with cost: 43.
sol/enum/log_trenteSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 190.
sol/enum/log_vingtCinqSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 152.
sol/enum/log_vingtDeuxSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 103.
sol/enum/log_vingtEtunSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 107.
sol/enum/log_vingtQuatreSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 131.
sol/enum/log_vingtSommets.txt.txt:Result: best solution found in 16.47 seconds with cost: 40.
sol/enum/log_vingtTroisSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 116.
sol/enum/log_centSommets.txt:Result: best solution found in 60.00 seconds with cost: inf.
sol/enum/log_centSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: inf.
sol/enum/log_cinqCentSommets.txt:Result: best solution found in 60.02 seconds with cost: inf.
sol/enum/log_cinqCentSommets.txt.txt:Result: best solution found in 60.03 seconds with cost: inf.
sol/enum/log_cinqSommets.txt:Result: best solution found in 0.00 seconds with cost: 4.
sol/enum/log_cinqSommets.txt.txt:Result: best solution found in 0.00 seconds with cost: 4.
sol/enum/log_cinquanteSommets.txt:Result: best solution found in 60.00 seconds with cost: inf.
sol/enum/log_cinquanteSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: inf.
sol/enum/log_dixMilleSommets.txt:Result: best solution found in 82.10 seconds with cost: inf.
sol/enum/log_dixMilleSommets.txt.txt:Result: best solution found in 80.05 seconds with cost: inf.
sol/enum/log_dixSeptSommets.txt:Result: best solution found in 3.58 seconds with cost: 60.
sol/enum/log_dixSeptSommets.txt.txt:Result: best solution found in 3.50 seconds with cost: 60.
sol/enum/log_dixSommets.txt:Result: best solution found in 0.01 seconds with cost: 13.
sol/enum/log_dixSommets.txt.txt:Result: best solution found in 0.01 seconds with cost: 13.
sol/enum/log_milleSommets.txt:Result: best solution found in 60.06 seconds with cost: inf.
sol/enum/log_milleSommets.txt.txt:Result: best solution found in 60.06 seconds with cost: inf.
sol/enum/log_quatreSommets.txt:Result: best solution found in 0.00 seconds with cost: 2.
sol/enum/log_quatreSommets.txt.txt:Result: best solution found in 0.00 seconds with cost: 2.
sol/enum/log_quinzeSommets.txt:Result: best solution found in 0.75 seconds with cost: 43.
sol/enum/log_quinzeSommets.txt.txt:Result: best solution found in 0.76 seconds with cost: 43.
sol/enum/log_trenteSommets.txt:Result: best solution found in 60.00 seconds with cost: 190.
sol/enum/log_trenteSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 190.
sol/enum/log_vingtCinqSommets.txt:Result: best solution found in 60.00 seconds with cost: 152.
sol/enum/log_vingtCinqSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 152.
sol/enum/log_vingtDeuxSommets.txt:Result: best solution found in 60.00 seconds with cost: 103.
sol/enum/log_vingtDeuxSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 103.
sol/enum/log_vingtEtunSommets.txt:Result: best solution found in 60.00 seconds with cost: 107.
sol/enum/log_vingtEtunSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 107.
sol/enum/log_vingtQuatreSommets.txt:Result: best solution found in 60.00 seconds with cost: 131.
sol/enum/log_vingtQuatreSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 131.
sol/enum/log_vingtSommets.txt:Result: best solution found in 16.36 seconds with cost: 40.
sol/enum/log_vingtSommets.txt.txt:Result: best solution found in 16.47 seconds with cost: 40.
sol/enum/log_vingtTroisSommets.txt:Result: best solution found in 60.00 seconds with cost: 116.
sol/enum/log_vingtTroisSommets.txt.txt:Result: best solution found in 60.00 seconds with cost: 116.
